,AUD Australian dollar,BGN Bulgarian lev,BRL Brazilian real,CAD Canadian dollar,CHF Swiss franc,CNY Chinese/Yuan renminbi,CYP,CZK Czech koruna,DKK Danish krone,EEK Estonian kroon,EUR European Euro,GBP British pound,HKD Hong Kong dollar,HRK Croatian kuna,HUF Hungarian forint,IDR Indonesian rupiah,ILS Israeli new sheqel,INR Indian rupee,ISK Icelandic króna,JPY Japanese yen,KRW South Korean won,LTL Lithuanian litas,LVL Latvian lats,MTL,MXN Mexican peso,MYR Malaysian ringgit,NOK Norwegian krone,NZD New Zealand dollar,PHP Philippine peso,PLN Polish zloty,ROL,RON Romanian leu,RUB Russian ruble,SEK Swedish krona,SGD Singapore dollar,SIT,SKK,THB Thai baht,TRL,TRY Turkish new lira,USD United States dollar,ZAR South African rand
2008-07-05 00:00:00,1.0388615915,1.2480377768000002,1.6127879523,1.0165273435,1.0264182247,6.8589113649,,15.119647757000001,4.7585348733,9.9844298386,0.6381213707,0.5046263799,7.7980345862,4.621019718,149.19915767979998,9212.0030629826,,,77.4360283326,106.7640865293,1048.8481909258999,2.2033054687,0.4498755663,,10.359389956000001,3.2685214728,5.0960372663,1.3204645524,45.4099929807,2.1220726182,,2.3029800268,23.5214727841,5.994193095499999,1.3627719991999998,,19.3159338906,33.469465892399995,,1.2361687193000002,1.0,7.7078042244
2008-07-06 00:00:00,1.0388615915,1.2480377768000002,1.6127879523,1.0165273435,1.0264182247,6.8589113649,,15.119647757000001,4.7585348733,9.9844298386,0.6381213707,0.5046263799,7.7980345862,4.621019718,149.19915767979998,9212.0030629826,,,77.4360283326,106.7640865293,1048.8481909258999,2.2033054687,0.4498755663,,10.359389956000001,3.2685214728,5.0960372663,1.3204645524,45.4099929807,2.1220726182,,2.3029800268,23.5214727841,5.994193095499999,1.3627719991999998,,19.3159338906,33.469465892399995,,1.2361687193000002,1.0,7.7078042244
2008-07-07 00:00:00,1.0454923008,1.2496326113,1.6080761613,1.0215321705,1.0318190531,6.8690179540999985,,15.0469618555,4.7646795732,9.997188677999999,0.6389368091,0.5087853811,7.800587821900001,4.6271803719,148.8211615871,9210.497731774301,,,76.9663280302,107.6416842374,1041.2497603987,2.2061210146,0.44974762,,10.322982557000001,3.2654782442,5.1022298895,1.3277745831,45.6002811322,2.1155197751,,2.3018337486,23.542457351,6.0101590953,1.3641939812,,19.324643792699998,33.6451344962,,1.2282921219,1.0,7.744041914299999
2008-07-08 00:00:00,1.0502964238,1.2467648371,1.6006884682,1.0182316568,1.0262000381999998,6.8510231402,,15.0494039651,4.7540001275,9.9742461911,0.637470517,0.5064065786999999,7.7999617518,4.6184738956,147.29393765540001,9204.9977688532,,,76.8343214126,107.0695480334,1030.6304583413,2.2010582011,0.4483967616,,10.3365206859,3.2614904061,5.108369987900001,1.332887104,45.7850449417,2.1039076943,,2.2832918977000003,23.5152674189,6.004016064299999,1.3638681711000002,,19.2930451967,33.7247402308,,1.2279594569,1.0,7.769936890399999
2008-07-09 00:00:00,1.0500795418000002,1.2445434298,1.608781419,1.0151447661,1.0324530703,6.8570155902,,14.947502386300002,4.7468660515,9.9564747057,0.6363347121,0.5068724149,7.801845370700001,4.608908686,146.6687877824,9173.0003181674,,,75.3356665606,107.4578428253,999.7518294623,2.1971364938,0.4472796691,,10.2964683423,3.2444797964,5.1212217626,1.3257397391,45.39993636649999,2.0815144766,,2.2416799236,23.448615972,6.0123448934,1.3625835189,,19.2669424117,33.6500159084,,1.2217626472,1.0,7.662615335700001
2008-07-10 00:00:00,1.0413165266,1.2450980392,1.6089890502000002,1.0108225108,1.0327858416,6.8428189458,,14.9382480265,4.7491723962,9.9609116374,0.6366182837,0.5065253374,7.8020117138,4.607206519,146.80417621590001,9159.0017825312,,,75.3310415075,107.27018079959998,999.7517188694001,2.1981156099,0.4472243443,,10.3034759358,3.2505092946,5.1314616756,1.3199643494,45.525210083999994,2.0817417876,,2.2585943468000003,23.4520626432,6.0096765979,1.3618538324,,19.282531194300002,33.6898395722,,1.2196969697,1.0,7.6834733894
2008-07-11 00:00:00,1.0371329334,1.2351120935,1.6071992422,1.016103568,1.0228607515,6.833975371,,14.8500157878,4.7115882539,9.8810230502,0.6315124724,0.5046731923,7.8036627723,4.5701294601,146.20145247870002,9157.9981054626,,,76.41300915689999,106.31512472370001,1001.5029996842,2.1804862646000003,0.4437006631,,10.3180296811,3.2440164193000003,5.0903062835,1.3145563625,45.634985791000005,2.0649826334,,2.2810230502,23.3365961478,5.986422481799999,1.3583201768000002,,19.1285127881,33.6608778023,,1.2264603726,1.0,7.7527628671
2008-07-12 00:00:00,1.0371329334,1.2351120935,1.6071992422,1.016103568,1.0228607515,6.833975371,,14.8500157878,4.7115882539,9.8810230502,0.6315124724,0.5046731923,7.8036627723,4.5701294601,146.20145247870002,9157.9981054626,,,76.41300915689999,106.31512472370001,1001.5029996842,2.1804862646000003,0.4437006631,,10.3180296811,3.2440164193000003,5.0903062835,1.3145563625,45.634985791000005,2.0649826334,,2.2810230502,23.3365961478,5.986422481799999,1.3583201768000002,,19.1285127881,33.6608778023,,1.2264603726,1.0,7.7527628671
2008-07-13 00:00:00,1.0371329334,1.2351120935,1.6071992422,1.016103568,1.0228607515,6.833975371,,14.8500157878,4.7115882539,9.8810230502,0.6315124724,0.5046731923,7.8036627723,4.5701294601,146.20145247870002,9157.9981054626,,,76.41300915689999,106.31512472370001,1001.5029996842,2.1804862646000003,0.4437006631,,10.3180296811,3.2440164193000003,5.0903062835,1.3145563625,45.634985791000005,2.0649826334,,2.2810230502,23.3365961478,5.986422481799999,1.3583201768000002,,19.1285127881,33.6608778023,,1.2264603726,1.0,7.7527628671
2008-07-14 00:00:00,1.0329399886,1.2341768158,1.5975263457,1.0093393071,1.0242948192,6.8450179845,,14.709408720899999,4.707957342099999,9.8735407333,0.6310342652,0.5032498264999999,7.8031804127,4.5639553228,145.2703981826,9151.4987063798,,,76.7022149303,106.7962390358,1004.9977913800999,2.1788351107,0.4434908816,,10.285984728999999,3.2305168171,5.0814034202,1.3144443743,45.21486716729999,2.0529437748,,2.2561999117,23.249826465599998,5.974253802000001,1.3557771187,,19.117183063,33.6499021897,,1.2134788919,1.0,7.618476683300001
